Area,Model,Measure,$\gamma$,$p_\gamma$,$p_\gamma$ (adj.),$\eta$,$p_\eta$,$p_\eta$ (adj.)
PFC,Quad.,task dim.,0.712,6.3e-06,8.5e-06,-0.0661,0.00229,0.00274
PFC,Quad.,snf,0.163,3.0e-14,1.8e-13,-0.0195,3.2e-11,1.3e-10
PFC,Quad.,ssf,0.0192,0.0373,0.0427,-0.00104,0.411,0.429
PFC,Quad.,corr.,0.00674,8.0e-18,1.9e-16,-8.3e-04,1.1e-14,1.3e-13
PFC,Quad.,dim.,-0.586,1.7e-14,1.4e-13,0.078,1.1e-13,5.1e-13
PFC,Linear,ssf,0.0119,2.4e-06,3.6e-06,,,
PFC,Linear,task dim.,0.25,8.1e-08,1.8e-07,,,
CA1,Quad.,task dim.,0.99,1.5e-10,5.1e-10,-0.107,4.4e-07,8.0e-07
CA1,Quad.,snf,0.14,2.4e-08,7.2e-08,-0.017,8.4e-07,1.3e-06
CA1,Quad.,corr.,0.00559,2.7e-08,7.3e-08,-6.9e-04,5.5e-07,9.4e-07
CA1,Quad.,ssf,8.2e-04,0.919,0.919,9.7e-04,0.376,0.411
CA1,Quad.,dim.,-0.417,7.8e-08,1.8e-07,0.0546,3.0e-07,6.1e-07
CA1,Linear,ssf,0.00764,5.1e-04,6.4e-04,,,
CA1,Linear,task dim.,0.239,2.7e-06,3.9e-06,,,
